Algorithm name	Graph filename	Agents filename	Result	Run time
Christofides	graph10_1	agent0	1844,76	55,8967
Christofides	graph10_1	agent0	1844,76	8,567
Christofides	graph10_1	agent0	2005,95	6,7724
Christofides	graph10_1	agent0	2008,54	28,8413
Christofides	graph10_1	agent0	2008,54	6,6837
Christofides	graph10_1	agent0	1847,35	5,5125
Christofides	graph10_1	agent0	2008,54	5,4203
Christofides	graph10_1	agent0	1847,35	5,1481
Christofides	graph10_1	agent0	2008,54	5,5368
Christofides	graph10_1	agent0	1844,76	5,8039
Christofides	graph10_1	agent0	1847,35	5,8039
Christofides	graph10_1	agent0	1844,76	5,7864
Christofides	graph10_1	agent0	2008,54	4,8157
Christofides	graph10_1	agent0	2005,95	8,925
Christofides	graph10_1	agent0	1847,35	4,3084
Christofides	graph10_1	agent0	2005,95	4,497
Christofides	graph10_1	agent0	1844,76	4,2935
Christofides	graph10_1	agent0	2005,95	4,4765
Christofides	graph10_1	agent0	2005,95	7,3617
Christofides	graph10_1	agent0	1847,35	4,6327
Christofides	graph10_1	agent0	1847,35	8,8866
Christofides	graph10_1	agent0	2008,54	4,8853
Christofides	graph10_1	agent0	2008,54	4,5841
Christofides	graph10_1	agent0	2005,95	5,9925
Christofides	graph10_1	agent0	2005,95	6,9179
Christofides	graph10_1	agent0	2008,54	6,7016
Christofides	graph10_1	agent0	1844,76	5,6413
Christofides	graph10_1	agent0	2008,54	5,594
Christofides	graph10_1	agent0	1847,35	7,0579
Christofides	graph10_1	agent0	2005,95	7,3271
Christofides	graph10_1	agent0	2008,54	6,8134
Christofides	graph10_1	agent0	2008,54	5,9929
Christofides	graph10_1	agent0	1844,76	8,6028
Christofides	graph10_1	agent0	1847,35	5,3798
Christofides	graph10_1	agent0	2005,95	4,529
Christofides	graph10_1	agent0	2008,54	6,4136
Christofides	graph10_1	agent0	1847,35	4,4654
Christofides	graph10_1	agent0	2008,54	4,3959
Christofides	graph10_1	agent0	2008,54	5,5129
Christofides	graph10_1	agent0	1844,76	5,9758
Christofides	graph10_1	agent0	2008,54	6,5454
Christofides	graph10_1	agent0	2008,54	4,3323
Christofides	graph10_1	agent0	2008,54	5,6708
Christofides	graph10_1	agent0	1847,35	7,1176
Christofides	graph10_1	agent0	2008,54	4,4872
Christofides	graph10_1	agent0	2008,54	4,6916
Christofides	graph10_1	agent0	2008,54	4,8345
Christofides	graph10_1	agent0	1844,76	4,4147
Christofides	graph10_1	agent0	2008,54	4,788
Christofides	graph10_1	agent0	1847,35	6,0373
Christofides	graph10_1	agent0	2008,54	6,2242
Christofides	graph10_1	agent0	2005,95	6,4768
Christofides	graph10_1	agent0	2008,54	6,2826
Christofides	graph10_1	agent0	2005,95	8,4492
Christofides	graph10_1	agent0	1847,35	5,3017
Christofides	graph10_1	agent0	1847,35	4,1297
Christofides	graph10_1	agent0	1844,76	10,8757
Christofides	graph10_1	agent0	2008,54	11,627
Christofides	graph10_1	agent0	2005,95	6,0386
Christofides	graph10_1	agent0	1847,35	6,3513
Christofides	graph10_1	agent0	2008,54	6,8437
Christofides	graph10_1	agent0	1844,76	5,4515
Christofides	graph10_1	agent0	2005,95	6,0061
Christofides	graph10_1	agent0	1844,76	5,4318
Christofides	graph10_1	agent0	1844,76	7,2392
Christofides	graph10_1	agent0	2008,54	5,2224
Christofides	graph10_1	agent0	2005,95	5,9741
Christofides	graph10_1	agent0	1847,35	4,8315
Christofides	graph10_1	agent0	1844,76	4,7364
