Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	graph19_1	agents4_max6_1	50	5000	0,21	0,025	True	True	1010,63	0,0012
Genetic	graph19_1	agents4_max6_1	50	5000	0,2375	0,025	True	True	998,52	1075,1624
Genetic	graph19_1	agents4_max6_1	50	5000	0,265	0,025	True	True	994,53	1040,9907
Genetic	graph19_1	agents4_max6_1	50	5000	0,2925	0,025	True	True	1102,26	1007,1325
Genetic	graph19_1	agents4_max6_1	50	5000	0,32	0,025	True	True	1042,41	1034,4469
Genetic	graph19_1	agents4_max6_1	50	5000	0,3475	0,025	True	True	1039,96	1024,4002
Genetic	graph19_1	agents4_max6_1	50	5000	0,375	0,025	True	True	965,83	1059,7794
Genetic	graph19_1	agents4_max6_1	50	5000	0,4025	0,025	True	True	1080,02	1003,4269
Genetic	graph19_1	agents4_max6_1	50	5000	0,43	0,025	True	True	1031,78	1033,1997
Genetic	graph19_1	agents4_max6_1	50	5000	0,4575	0,025	True	True	1081,26	1037,312
Genetic	graph19_1	agents4_max6_1	50	5000	0,485	0,025	True	True	1053,75	1122,036
Genetic	graph19_1	agents4_max6_1	50	5000	0,5125	0,025	True	True	1071,62	993,9541
Genetic	graph19_1	agents4_max6_1	50	5000	0,54	0,025	True	True	1069,73	981,9332
Genetic	graph19_1	agents4_max6_1	50	5000	0,5675	0,025	True	True	1053,06	1001,5351
Genetic	graph19_1	agents4_max6_1	50	5000	0,595	0,025	True	True	961,22	1036,0004
Genetic	graph19_1	agents4_max6_1	50	5000	0,6225	0,025	True	True	1038,5	1008,436
Genetic	graph19_1	agents4_max6_1	50	5000	0,65	0,025	True	True	1002,14	1034,5676
Genetic	graph19_1	agents4_max6_1	50	5000	0,6775	0,025	True	True	995,21	1001,7382
Genetic	graph19_1	agents4_max6_1	50	5000	0,705	0,025	True	True	977,97	1007,7448
Genetic	graph19_1	agents4_max6_1	50	5000	0,7325	0,025	True	True	1018,88	974,6414
