Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,25	0,025	True	True	203	0,0012
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,26	0,025	True	True	213	3357,3555
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,27	0,025	True	True	179	3234,6712
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,28	0,025	True	True	206	3340,2368
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,29	0,025	True	True	211	3349,2262
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,3	0,025	True	True	187	3400,5551
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,31	0,025	True	True	188	3521,0396
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,32	0,025	True	True	169	3515,1076
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,33	0,025	True	True	197	3464,3282
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,34	0,025	True	True	167	3754,9594
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,35	0,025	True	True	201	3467,0056
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,36	0,025	True	True	194	3711,1096
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,37	0,025	True	True	168	3562,1029
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,38	0,025	True	True	167	3541,6757
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,39	0,025	True	True	197	3715,6395
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,4	0,025	True	True	174	3408,4809
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,41	0,025	True	True	177	3353,4404
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,42	0,025	True	True	186	3439,3225
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,43	0,025	True	True	185	3558,7672
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,44	0,025	True	True	206	3624,5874
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,45	0,025	True	True	178	3666,0159
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,46	0,025	True	True	166	3655,8809
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,47	0,025	True	True	159	3568,066
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,48	0,025	True	True	180	3382,3996
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,49	0,025	True	True	178	3532,871
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,5	0,025	True	True	178	3330,6995
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,51	0,025	True	True	170	3440,0474
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,52	0,025	True	True	193	3458,8293
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,53	0,025	True	True	171	3389,257
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,54	0,025	True	True	191	3590,9712
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,55	0,025	True	True	167	3322,772
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,56	0,025	True	True	162	3579,5151
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,57	0,025	True	True	190	3488,4503
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,58	0,025	True	True	149	3450,68
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,59	0,025	True	True	198	3414,8839
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,6	0,025	True	True	212	3313,2394
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,61	0,025	True	True	218	3283,4179
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,62	0,025	True	True	175	3296,628
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,63	0,025	True	True	170	3205,8771
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,64	0,025	True	True	167	3408,233
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,65	0,025	True	True	181	3270,9225
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,66	0,025	True	True	176	3449,5139
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,67	0,025	True	True	192	3371,2235
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,68	0,025	True	True	157	3240,2665
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,69	0,025	True	True	173	3301,0683
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,7	0,025	True	True	178	3443,8465
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,71	0,025	True	True	169	3564,3936
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,72	0,025	True	True	163	3306,6593
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,73	0,025	True	True	172	3203,6909
Genetic	graph50_1	MultiAgents\agents2_max0_2	60	5000	0,74	0,025	True	True	186	3231,3709
