Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	g50_rand	MultiAgents\a3_5	1	848	0,06	0,025	True	False	4613,25	33,2364
Genetic	g50_rand	MultiAgents\a3_5	3	848	0,06	0,025	True	False	4605,4	57,0917
Genetic	g50_rand	MultiAgents\a3_5	5	848	0,06	0,025	True	False	4805,83	57,3034
Genetic	g50_rand	MultiAgents\a3_5	7	848	0,06	0,025	True	False	4364,01	80,4389
Genetic	g50_rand	MultiAgents\a3_5	9	848	0,06	0,025	True	False	3825,57	81,1229
Genetic	g50_rand	MultiAgents\a3_5	11	848	0,06	0,025	True	False	4247,82	101,2107
Genetic	g50_rand	MultiAgents\a3_5	13	848	0,06	0,025	True	False	4199,02	111,7895
Genetic	g50_rand	MultiAgents\a3_5	15	848	0,06	0,025	True	False	4297,92	118,7685
Genetic	g50_rand	MultiAgents\a3_5	17	848	0,06	0,025	True	False	4098,43	156,7853
Genetic	g50_rand	MultiAgents\a3_5	19	848	0,06	0,025	True	False	3682,77	187,2885
Genetic	g50_rand	MultiAgents\a3_5	21	848	0,06	0,025	True	False	4158,29	204,525
Genetic	g50_rand	MultiAgents\a3_5	23	848	0,06	0,025	True	False	3983,02	216,1674
Genetic	g50_rand	MultiAgents\a3_5	25	848	0,06	0,025	True	False	3978,42	215,6789
Genetic	g50_rand	MultiAgents\a3_5	27	848	0,06	0,025	True	False	4097,47	228,5199
Genetic	g50_rand	MultiAgents\a3_5	29	848	0,06	0,025	True	False	3977,58	243,6196
Genetic	g50_rand	MultiAgents\a3_5	31	848	0,06	0,025	True	False	4098,97	319,2543
Genetic	g50_rand	MultiAgents\a3_5	33	848	0,06	0,025	True	False	4041,69	299,7236
Genetic	g50_rand	MultiAgents\a3_5	35	848	0,06	0,025	True	False	3788,76	292,984
Genetic	g50_rand	MultiAgents\a3_5	37	848	0,06	0,025	True	False	3853,3	308,5923
Genetic	g50_rand	MultiAgents\a3_5	39	848	0,06	0,025	True	False	4033,87	396,7604
Genetic	g50_rand	MultiAgents\a3_5	41	848	0,06	0,025	True	False	3692,78	347,5854
Genetic	g50_rand	MultiAgents\a3_5	43	848	0,06	0,025	True	False	3581,01	365,1295
Genetic	g50_rand	MultiAgents\a3_5	45	848	0,06	0,025	True	False	3941,29	420,8448
Genetic	g50_rand	MultiAgents\a3_5	47	848	0,06	0,025	True	False	3880,12	426,88
Genetic	g50_rand	MultiAgents\a3_5	49	848	0,06	0,025	True	False	3648,27	445,7118
Genetic	g50_rand	MultiAgents\a3_5	51	848	0,06	0,025	True	False	3753,89	498,6555
Genetic	g50_rand	MultiAgents\a3_5	53	848	0,06	0,025	True	False	3990,62	445,859
Genetic	g50_rand	MultiAgents\a3_5	55	848	0,06	0,025	True	False	3692,98	477,2488
Genetic	g50_rand	MultiAgents\a3_5	57	848	0,06	0,025	True	False	3819,87	514,5506
Genetic	g50_rand	MultiAgents\a3_5	59	848	0,06	0,025	True	False	3647,53	487,8357
Genetic	g50_rand	MultiAgents\a3_5	61	848	0,06	0,025	True	False	3650,77	569,3972
Genetic	g50_rand	MultiAgents\a3_5	63	848	0,06	0,025	True	False	3683,97	553,5402
Genetic	g50_rand	MultiAgents\a3_5	65	848	0,06	0,025	True	False	3839,98	648,7397
Genetic	g50_rand	MultiAgents\a3_5	67	848	0,06	0,025	True	False	3655,47	584,9245
Genetic	g50_rand	MultiAgents\a3_5	69	848	0,06	0,025	True	False	3878,73	584,7286
Genetic	g50_rand	MultiAgents\a3_5	71	848	0,06	0,025	True	False	3538,65	617,6784
Genetic	g50_rand	MultiAgents\a3_5	73	848	0,06	0,025	True	False	3682,9	669,2171
Genetic	g50_rand	MultiAgents\a3_5	75	848	0,06	0,025	True	False	3266,95	632,6467
Genetic	g50_rand	MultiAgents\a3_5	77	848	0,06	0,025	True	False	3823,86	686,5841
Genetic	g50_rand	MultiAgents\a3_5	79	848	0,06	0,025	True	False	3668,51	700,1188
Genetic	g50_rand	MultiAgents\a3_5	81	848	0,06	0,025	True	False	2886,92	737,5515
Genetic	g50_rand	MultiAgents\a3_5	83	848	0,06	0,025	True	False	3624,74	750,148
Genetic	g50_rand	MultiAgents\a3_5	85	848	0,06	0,025	True	False	2791,1	697,5912
Genetic	g50_rand	MultiAgents\a3_5	87	848	0,06	0,025	True	False	3511,39	806,9829
Genetic	g50_rand	MultiAgents\a3_5	89	848	0,06	0,025	True	False	3506,46	823,8081
Genetic	g50_rand	MultiAgents\a3_5	91	848	0,06	0,025	True	False	3633,63	743,521
Genetic	g50_rand	MultiAgents\a3_5	93	848	0,06	0,025	True	False	3524,41	860,818
Genetic	g50_rand	MultiAgents\a3_5	95	848	0,06	0,025	True	False	3332,09	856,4831
Genetic	g50_rand	MultiAgents\a3_5	97	848	0,06	0,025	True	False	3114,78	856,0231
