Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	g14	agents2_max4_1	1	1500	0,76	0,026	True	True	141319,53	22,9729
Genetic	g14	agents2_max4_1	3	1500	0,76	0,026	True	True	141319,53	20,8434
Genetic	g14	agents2_max4_1	5	1500	0,76	0,026	True	True	141319,53	21,9541
Genetic	g14	agents2_max4_1	7	1500	0,76	0,026	True	True	141319,53	30,5211
Genetic	g14	agents2_max4_1	9	1500	0,76	0,026	True	True	141319,53	36,296
Genetic	g14	agents2_max4_1	11	1500	0,76	0,026	True	True	141319,53	58,1703
Genetic	g14	agents2_max4_1	13	1500	0,76	0,026	True	True	141319,53	60,0127
Genetic	g14	agents2_max4_1	15	1500	0,76	0,026	True	True	141319,53	54,7561
Genetic	g14	agents2_max4_1	17	1500	0,76	0,026	True	True	141319,53	69,2398
Genetic	g14	agents2_max4_1	19	1500	0,76	0,026	True	True	141319,53	70,0892
Genetic	g14	agents2_max4_1	21	1500	0,76	0,026	True	True	141319,53	80,6791
Genetic	g14	agents2_max4_1	23	1500	0,76	0,026	True	True	141319,53	98,6345
Genetic	g14	agents2_max4_1	25	1500	0,76	0,026	True	True	141319,53	98,7808
Genetic	g14	agents2_max4_1	27	1500	0,76	0,026	True	True	141319,53	100,6364
Genetic	g14	agents2_max4_1	29	1500	0,76	0,026	True	True	141319,53	100,9726
Genetic	g14	agents2_max4_1	31	1500	0,76	0,026	True	True	141319,53	116,854
Genetic	g14	agents2_max4_1	33	1500	0,76	0,026	True	True	141319,53	125,5733
Genetic	g14	agents2_max4_1	35	1500	0,76	0,026	True	True	141319,53	125,6962
Genetic	g14	agents2_max4_1	37	1500	0,76	0,026	True	True	141319,53	126,256
Genetic	g14	agents2_max4_1	39	1500	0,76	0,026	True	True	141319,53	153,0229
Genetic	g14	agents2_max4_1	41	1500	0,76	0,026	True	True	141319,53	143,0675
Genetic	g14	agents2_max4_1	43	1500	0,76	0,026	True	True	141319,53	158,6276
Genetic	g14	agents2_max4_1	45	1500	0,76	0,026	True	True	141319,53	157,4214
Genetic	g14	agents2_max4_1	47	1500	0,76	0,026	True	True	141319,53	175,9327
Genetic	g14	agents2_max4_1	49	1500	0,76	0,026	True	True	141319,53	174,0691
Genetic	g14	agents2_max4_1	51	1500	0,76	0,026	True	True	141319,53	194,7346
Genetic	g14	agents2_max4_1	53	1500	0,76	0,026	True	True	141319,53	186,9953
Genetic	g14	agents2_max4_1	55	1500	0,76	0,026	True	True	141319,53	189,3868
Genetic	g14	agents2_max4_1	57	1500	0,76	0,026	True	True	141319,53	195,3857
Genetic	g14	agents2_max4_1	59	1500	0,76	0,026	True	True	141319,53	225,6841
Genetic	g14	agents2_max4_1	61	1500	0,76	0,026	True	True	141319,53	224,4438
Genetic	g14	agents2_max4_1	63	1500	0,76	0,026	True	True	141319,53	209,4836
Genetic	g14	agents2_max4_1	65	1500	0,76	0,026	True	True	141319,53	220,1639
Genetic	g14	agents2_max4_1	67	1500	0,76	0,026	True	True	141319,53	222,9223
Genetic	g14	agents2_max4_1	69	1500	0,76	0,026	True	True	141319,53	259,1753
Genetic	g14	agents2_max4_1	71	1500	0,76	0,026	True	True	141319,53	241,2284
Genetic	g14	agents2_max4_1	73	1500	0,76	0,026	True	True	141319,53	238,191
Genetic	g14	agents2_max4_1	75	1500	0,76	0,026	True	True	141319,53	244,6815
Genetic	g14	agents2_max4_1	77	1500	0,76	0,026	True	True	141319,53	290,0774
Genetic	g14	agents2_max4_1	79	1500	0,76	0,026	True	True	141319,53	275,7389
Genetic	g14	agents2_max4_1	81	1500	0,76	0,026	True	True	141319,53	307,7329
Genetic	g14	agents2_max4_1	83	1500	0,76	0,026	True	True	141319,53	295,0084
Genetic	g14	agents2_max4_1	85	1500	0,76	0,026	True	True	141319,53	339,0348
Genetic	g14	agents2_max4_1	87	1500	0,76	0,026	True	True	141319,53	283,1433
Genetic	g14	agents2_max4_1	89	1500	0,76	0,026	True	True	141319,53	319,0489
Genetic	g14	agents2_max4_1	91	1500	0,76	0,026	True	True	141319,53	314,842
Genetic	g14	agents2_max4_1	93	1500	0,76	0,026	True	True	141319,53	388,8656
Genetic	g14	agents2_max4_1	95	1500	0,76	0,026	True	True	141319,53	431,4712
Genetic	g14	agents2_max4_1	97	1500	0,76	0,026	True	True	141319,53	397,9758
Genetic	g14	agents2_max4_1	99	1500	0,76	0,026	True	True	141319,53	374,5829
Genetic	g14	agents2_max4_1	101	1500	0,76	0,026	True	True	141319,53	356,5635
Genetic	g14	agents2_max4_1	103	1500	0,76	0,026	True	True	141319,53	387,4994
Genetic	g14	agents2_max4_1	105	1500	0,76	0,026	True	True	141319,53	392,5012
Genetic	g14	agents2_max4_1	107	1500	0,76	0,026	True	True	141319,53	394,2881
Genetic	g14	agents2_max4_1	109	1500	0,76	0,026	True	True	141319,53	468,3488
Genetic	g14	agents2_max4_1	111	1500	0,76	0,026	True	True	141319,53	431,9452
Genetic	g14	agents2_max4_1	113	1500	0,76	0,026	True	True	141319,53	377,2701
Genetic	g14	agents2_max4_1	115	1500	0,76	0,026	True	True	141319,53	410,0679
Genetic	g14	agents2_max4_1	117	1500	0,76	0,026	True	True	141319,53	395,5101
Genetic	g14	agents2_max4_1	119	1500	0,76	0,026	True	True	141319,53	392,1317
Genetic	g14	agents2_max4_1	121	1500	0,76	0,026	True	True	141319,53	455,3965
Genetic	g14	agents2_max4_1	123	1500	0,76	0,026	True	True	141319,53	402,4408
Genetic	g14	agents2_max4_1	125	1500	0,76	0,026	True	True	141319,53	421,9309
Genetic	g14	agents2_max4_1	127	1500	0,76	0,026	True	True	141319,53	424,566
Genetic	g14	agents2_max4_1	129	1500	0,76	0,026	True	True	141319,53	432,6249
Genetic	g14	agents2_max4_1	131	1500	0,76	0,026	True	True	141319,53	456,9551
Genetic	g14	agents2_max4_1	133	1500	0,76	0,026	True	True	141319,53	437,5439
Genetic	g14	agents2_max4_1	135	1500	0,76	0,026	True	True	141319,53	458,9148
Genetic	g14	agents2_max4_1	137	1500	0,76	0,026	True	True	141319,53	462,7991
