Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	g35	agents4_max6_1	21500	300	0	0,025	True	True	12123,27	45264,4810
Genetic	g35	agents4_max6_1	21500	300	0,01	0,025	True	True	12118,14	44801,1459
Genetic	g35	agents4_max6_1	21500	300	0,02	0,025	True	True	12712,92	46364,4158
Genetic	g35	agents4_max6_1	21500	300	0,03	0,025	True	True	12744,21	45042,7664
Genetic	g35	agents4_max6_1	21500	300	0,05	0,025	True	True	15404,68	46156,3713
Genetic	g35	agents4_max6_1	21500	300	0,06	0,025	True	True	12712,92	46585,3681
Genetic	g35	agents4_max6_1	21500	300	0,07	0,025	True	True	12817,99	45782,9238
Genetic	g35	agents4_max6_1	21500	300	0,08	0,025	True	True	12198,9	47974,5216
Genetic	g35	agents4_max6_1	21500	300	0,09	0,025	True	True	13688,7	46513,1323
Genetic	g35	agents4_max6_1	21500	300	0,1	0,025	True	True	13258,8	45575,6589
Genetic	g35	agents4_max6_1	21500	300	0,11	0,025	True	True	15358,32	48104,8262
Genetic	g35	agents4_max6_1	21500	300	0,12	0,025	True	True	12026,19	46580,8463
Genetic	g35	agents4_max6_1	21500	300	0,13	0,025	True	True	12744,21	47416,5437
Genetic	g35	agents4_max6_1	21500	300	0,14	0,025	True	True	11909,66	47020,901
Genetic	g35	agents4_max6_1	21500	300	0,15	0,025	True	True	13870,32	47693,3888
Genetic	g35	agents4_max6_1	21500	300	0,16	0,025	True	True	13545,16	48451,5793
Genetic	g35	agents4_max6_1	21500	300	0,17	0,025	True	True	13837,9	48014,2404
Genetic	g35	agents4_max6_1	21500	300	0,18	0,025	True	True	13627,21	43278,8133
Genetic	g35	agents4_max6_1	21500	300	0,19	0,025	True	True	12712,92	43598,8226
Genetic	g35	agents4_max6_1	21500	300	0,2	0,025	True	True	14773,17	43360,4691
Genetic	g35	agents4_max6_1	21500	300	0,21	0,025	True	True	11978,95	43207,8835
Genetic	g35	agents4_max6_1	21500	300	0,22	0,025	True	True	13363,31	45174,2051
Genetic	g35	agents4_max6_1	21500	300	0,23	0,025	True	True	12915,42	47738,7818
Genetic	g35	agents4_max6_1	21500	300	0,24	0,025	True	True	14014,57	48034,245
Genetic	g35	agents4_max6_1	21500	300	0,25	0,025	True	True	12993,04	48738,653
Genetic	g35	agents4_max6_1	21500	300	0,26	0,025	True	True	12081,66	48018,3658
Genetic	g35	agents4_max6_1	21500	300	0,27	0,025	True	True	11909,66	47455,308
Genetic	g35	agents4_max6_1	21500	300	0,28	0,025	True	True	11712,46	46228,7953
Genetic	g35	agents4_max6_1	21500	300	0,29	0,025	True	True	12514,6	45128,3351
Genetic	g35	agents4_max6_1	21500	300	0,3	0,025	True	True	15044,46	44943,4748
Genetic	g35	agents4_max6_1	21500	300	0,31	0,025	True	True	14481,6	43048,8105
Genetic	g35	agents4_max6_1	21500	300	0,32	0,025	True	True	12123,27	43428,7698
Genetic	g35	agents4_max6_1	21500	300	0,33	0,025	True	True	17679,61	44474,3735
Genetic	g35	agents4_max6_1	21500	300	0,34	0,025	True	True	13692,92	47044,924
Genetic	g35	agents4_max6_1	21500	300	0,35	0,025	True	True	12639,22	48370,1612
Genetic	g35	agents4_max6_1	21500	300	0,36	0,025	True	True	11978,94	43565,6553
Genetic	g35	agents4_max6_1	21500	300	0,37	0,025	True	True	12491,73	43544,0839
Genetic	g35	agents4_max6_1	21500	300	0,38	0,025	True	True	16227,58	44723,5567
Genetic	g35	agents4_max6_1	21500	300	0,39	0,025	True	True	12372,49	44957,0654
Genetic	g35	agents4_max6_1	21500	300	0,4	0,025	True	True	12712,92	45432,8248
Genetic	g35	agents4_max6_1	21500	300	0,41	0,025	True	True	12866,36	45656,4426
Genetic	g35	agents4_max6_1	21500	300	0,42	0,025	True	True	11179,33	47264,3643
Genetic	g35	agents4_max6_1	21500	300	0,43	0,025	True	True	13105,25	48045,4732
Genetic	g35	agents4_max6_1	21500	300	0,44	0,025	True	True	12537,95	46898,6126
Genetic	g35	agents4_max6_1	21500	300	0,45	0,025	True	True	14034,19	44751,7909
Genetic	g35	agents4_max6_1	21500	300	0,46	0,025	True	True	13900,85	46672,923
Genetic	g35	agents4_max6_1	21500	300	0,47	0,025	True	True	13156,42	47777,8952
Genetic	g35	agents4_max6_1	21500	300	0,48	0,025	True	True	13389,56	46924,8654
Genetic	g35	agents4_max6_1	21500	300	0,49	0,025	True	True	13112,84	47669,4781
Genetic	g35	agents4_max6_1	21500	300	0,5	0,025	True	True	13635,63	47561,9433
Genetic	g35	agents4_max6_1	21500	300	0,51	0,025	True	True	13112,84	47690,9479
Genetic	g35	agents4_max6_1	21500	300	0,52	0,025	True	True	12639,22	45945,2984
Genetic	g35	agents4_max6_1	21500	300	0,53	0,025	True	True	12418,34	48500,3861
Genetic	g35	agents4_max6_1	21500	300	0,54	0,025	True	True	14892,65	46732,0815
Genetic	g35	agents4_max6_1	21500	300	0,55	0,025	True	True	12056,33	46697,088
Genetic	g35	agents4_max6_1	21500	300	0,56	0,025	True	True	17477,64	44237,7604
Genetic	g35	agents4_max6_1	21500	300	0,57	0,025	True	True	14014,57	43372,5723
Genetic	g35	agents4_max6_1	21500	300	0,58	0,025	True	True	14028,95	44779,138
Genetic	g35	agents4_max6_1	21500	300	0,59	0,025	True	True	15675,42	44598,1963
Genetic	g35	agents4_max6_1	21500	300	0,6	0,025	True	True	15003,89	45830,9144
Genetic	g35	agents4_max6_1	21500	300	0,61	0,025	True	True	12118,14	45601,7367
