Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	g35	agents4_max6_1	0	21500	0,75	0,025	True	True	39574,08	0,0029
Genetic	g35	agents4_max6_1	3	21500	0,75	0,025	True	True	37125,74	289,4093
Genetic	g35	agents4_max6_1	6	21500	0,75	0,025	True	True	33797,1	821,0054
Genetic	g35	agents4_max6_1	9	21500	0,75	0,025	True	True	32003,48	1360,66
Genetic	g35	agents4_max6_1	12	21500	0,75	0,025	True	True	30963,4	1848,7276
Genetic	g35	agents4_max6_1	15	21500	0,75	0,025	True	True	31048,3	2340,5614
Genetic	g35	agents4_max6_1	18	21500	0,75	0,025	True	True	30197,93	3107,9145
Genetic	g35	agents4_max6_1	21	21500	0,75	0,025	True	True	28292,52	3977,7276
Genetic	g35	agents4_max6_1	24	21500	0,75	0,025	True	True	28833,19	6110,1737
Genetic	g35	agents4_max6_1	27	21500	0,75	0,025	True	True	28626,9	5711,1474
Genetic	g35	agents4_max6_1	30	21500	0,75	0,025	True	True	28993,06	6547,2492
Genetic	g35	agents4_max6_1	33	21500	0,75	0,025	True	True	28040,27	6061,9788
Genetic	g35	agents4_max6_1	36	21500	0,75	0,025	True	True	28987,9	6440,9453
Genetic	g35	agents4_max6_1	39	21500	0,75	0,025	True	True	27042,83	8856,7242
Genetic	g35	agents4_max6_1	42	21500	0,75	0,025	True	True	27802,09	12186,5375
Genetic	g35	agents4_max6_1	45	21500	0,75	0,025	True	True	26767,1	13285,4234
Genetic	g35	agents4_max6_1	48	21500	0,75	0,025	True	True	25471,06	13764,7853
Genetic	g35	agents4_max6_1	51	21500	0,75	0,025	True	True	27144,45	16754,6093
Genetic	g35	agents4_max6_1	54	21500	0,75	0,025	True	True	26552,55	18702,5808
Genetic	g35	agents4_max6_1	57	21500	0,75	0,025	True	True	26854,77	19571,0742
Genetic	g35	agents4_max6_1	60	21500	0,75	0,025	True	True	26803,68	21233,618
Genetic	g35	agents4_max6_1	63	21500	0,75	0,025	True	True	26110,33	19481,9061
Genetic	g35	agents4_max6_1	66	21500	0,75	0,025	True	True	26615,12	21965,2237
Genetic	g35	agents4_max6_1	69	21500	0,75	0,025	True	True	26360,93	22816,6227
Genetic	g35	agents4_max6_1	72	21500	0,75	0,025	True	True	26618,51	22899,064
Genetic	g35	agents4_max6_1	75	21500	0,75	0,025	True	True	25550,68	23524,3235
Genetic	g35	agents4_max6_1	78	21500	0,75	0,025	True	True	25265,06	20350,1934
Genetic	g35	agents4_max6_1	81	21500	0,75	0,025	True	True	25319,11	21817,8374
Genetic	g35	agents4_max6_1	84	21500	0,75	0,025	True	True	26400,49	24658,4537
Genetic	g35	agents4_max6_1	87	21500	0,75	0,025	True	True	24428,74	26916,2296
Genetic	g35	agents4_max6_1	90	21500	0,75	0,025	True	True	24287,64	30218,8955
Genetic	g35	agents4_max6_1	93	21500	0,75	0,025	True	True	25179,07	30610,6492
Genetic	g35	agents4_max6_1	96	21500	0,75	0,025	True	True	25575,38	30864,7698
Genetic	g35	agents4_max6_1	99	21500	0,75	0,025	True	True	24711,82	27167,3862
Genetic	g35	agents4_max6_1	102	21500	0,75	0,025	True	True	25021,26	29446,9434
Genetic	g35	agents4_max6_1	105	21500	0,75	0,025	True	True	24451,67	31336,0409
Genetic	g35	agents4_max6_1	108	21500	0,75	0,025	True	True	24919,84	32603,718
Genetic	g35	agents4_max6_1	111	21500	0,75	0,025	True	True	24321,93	33946,7388
Genetic	g35	agents4_max6_1	114	21500	0,75	0,025	True	True	23967,44	39215,3157
Genetic	g35	agents4_max6_1	117	21500	0,75	0,025	True	True	22184,8	37266,8596
Genetic	g35	agents4_max6_1	120	21500	0,75	0,025	True	True	23289,83	38153,6501
Genetic	g35	agents4_max6_1	123	21500	0,75	0,025	True	True	24730,2	34198,0635
Genetic	g35	agents4_max6_1	126	21500	0,75	0,025	True	True	23224,15	37148,1965
Genetic	g35	agents4_max6_1	129	21500	0,75	0,025	True	True	24616,55	38889,7477
Genetic	g35	agents4_max6_1	132	21500	0,75	0,025	True	True	23631,64	38564,1835
Genetic	g35	agents4_max6_1	135	21500	0,75	0,025	True	True	23090,18	46332,4817
Genetic	g35	agents4_max6_1	138	21500	0,75	0,025	True	True	21572,27	43314,7985
Genetic	g35	agents4_max6_1	141	21500	0,75	0,025	True	True	23511,12	52427,5309
Genetic	g35	agents4_max6_1	144	21500	0,75	0,025	True	True	22987,93	52988,9169
Genetic	g35	agents4_max6_1	147	21500	0,75	0,025	True	True	20582,7	53834,203
Genetic	g35	agents4_max6_1	150	21500	0,75	0,025	True	True	21647,11	53716,0157
Genetic	g35	agents4_max6_1	153	21500	0,75	0,025	True	True	21634,06	50330,2182
Genetic	g35	agents4_max6_1	156	21500	0,75	0,025	True	True	20616,26	43747,1397
Genetic	g35	agents4_max6_1	159	21500	0,75	0,025	True	True	21466,81	43422,6648
Genetic	g35	agents4_max6_1	162	21500	0,75	0,025	True	True	23999,8	44060,7892
Genetic	g35	agents4_max6_1	165	21500	0,75	0,025	True	True	21541,27	58931,1945
Genetic	g35	agents4_max6_1	168	21500	0,75	0,025	True	True	19894,71	48200,9913
Genetic	g35	agents4_max6_1	171	21500	0,75	0,025	True	True	21836,15	48161,3459
Genetic	g35	agents4_max6_1	174	21500	0,75	0,025	True	True	20350,42	47731,8603
Genetic	g35	agents4_max6_1	177	21500	0,75	0,025	True	True	18770,84	48386,9204
Genetic	g35	agents4_max6_1	180	21500	0,75	0,025	True	True	18301,4	48636,0627
Genetic	g35	agents4_max6_1	183	21500	0,75	0,025	True	True	21234,42	50980,963
Genetic	g35	agents4_max6_1	186	21500	0,75	0,025	True	True	22315,85	42639,2235
Genetic	g35	agents4_max6_1	189	21500	0,75	0,025	True	True	19204,67	50447,993
Genetic	g35	agents4_max6_1	192	21500	0,75	0,025	True	True	21428,69	60374,5693
Genetic	g35	agents4_max6_1	195	21500	0,75	0,025	True	True	19539,57	50178,9117
Genetic	g35	agents4_max6_1	198	21500	0,75	0,025	True	True	19665,33	44762,6132
Genetic	g35	agents4_max6_1	201	21500	0,75	0,025	True	True	16257,97	55757,942
Genetic	g35	agents4_max6_1	204	21500	0,75	0,025	True	True	16161,14	61816,5702
Genetic	g35	agents4_max6_1	207	21500	0,75	0,025	True	True	23004,26	54355,8787
Genetic	g35	agents4_max6_1	210	21500	0,75	0,025	True	True	15957,9	46633,1336
Genetic	g35	agents4_max6_1	213	21500	0,75	0,025	True	True	15373,35	64857,7853
Genetic	g35	agents4_max6_1	216	21500	0,75	0,025	True	True	15935,29	62041,233
Genetic	g35	agents4_max6_1	219	21500	0,75	0,025	True	True	16256,23	54987,7751
Genetic	g35	agents4_max6_1	222	21500	0,75	0,025	True	True	15985,88	66172,5083
Genetic	g35	agents4_max6_1	225	21500	0,75	0,025	True	True	14037,37	61291,4688
Genetic	g35	agents4_max6_1	228	21500	0,75	0,025	True	True	14178,71	59244,623
Genetic	g35	agents4_max6_1	231	21500	0,75	0,025	True	True	19133,54	49924,3384
Genetic	g35	agents4_max6_1	234	21500	0,75	0,025	True	True	19234,36	68559,7855
Genetic	g35	agents4_max6_1	237	21500	0,75	0,025	True	True	16363,48	64318,4955
Genetic	g35	agents4_max6_1	240	21500	0,75	0,025	True	True	17250,81	64052,5179
Genetic	g35	agents4_max6_1	243	21500	0,75	0,025	True	True	14636,29	64703,8715
Genetic	g35	agents4_max6_1	246	21500	0,75	0,025	True	True	19773,58	65435,0232
Genetic	g35	agents4_max6_1	249	21500	0,75	0,025	True	True	16771,57	66876,6644
Genetic	g35	agents4_max6_1	252	21500	0,75	0,025	True	True	14177,3	70336,2679
Genetic	g35	agents4_max6_1	255	21500	0,75	0,025	True	True	11730,95	69790,6097
Genetic	g35	agents4_max6_1	258	21500	0,75	0,025	True	True	12956,37	65749,4189
Genetic	g35	agents4_max6_1	261	21500	0,75	0,025	True	True	13384,9	55417,7394
Genetic	g35	agents4_max6_1	264	21500	0,75	0,025	True	True	11712,46	55444,2614
