Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,2971
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,4244
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,9653
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,3304
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8312
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,4307
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,0609
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,0609
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9208
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9707
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,879
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8628
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,0343
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,7477
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8099
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,3991
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,0159
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,2473
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8623
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1487,59	1,8355
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,2237
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8564
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,2029
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8619
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8926
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9246
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9626
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,7937
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8329
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,7873
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,8246
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9327
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,838
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,4127
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9874
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,3863
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8815
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,847
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,9013
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,4115
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,3082
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,3065
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,1542
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,5425
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8444
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,7033
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,7609
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,2972
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,1914
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9464
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8798
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9933
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,153
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,1742
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,873
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,0966
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,7673
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	4,0388
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,6137
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,1875
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9955
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,1943
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8542
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9195
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,9827
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,7004
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8504
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8705
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,01
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,0902
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,1013
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	1,8474
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	3,5754
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,4661
Genetic	g5	MultiAgents\a1_0	100	24	0,6	0,035	True	False	1293,77	2,2425
