Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	g100_rand	MultiAgents\a3_5	1	3296	0,6	0,025	True	False	9422,27	159,6205
Genetic	g100_rand	MultiAgents\a3_5	2	3296	0,6	0,025	True	False	9364,07	273,2627
Genetic	g100_rand	MultiAgents\a3_5	3	3296	0,6	0,025	True	False	9136,58	349,1043
Genetic	g100_rand	MultiAgents\a3_5	4	3296	0,6	0,025	True	False	9081,46	462,1858
Genetic	g100_rand	MultiAgents\a3_5	5	3296	0,6	0,025	True	False	8786,71	590,1332
Genetic	g100_rand	MultiAgents\a3_5	6	3296	0,6	0,025	True	False	8923,2	597,7159
Genetic	g100_rand	MultiAgents\a3_5	7	3296	0,6	0,025	True	False	8614,11	675,2446
Genetic	g100_rand	MultiAgents\a3_5	8	3296	0,6	0,025	True	False	8764,73	745,5306
Genetic	g100_rand	MultiAgents\a3_5	9	3296	0,6	0,025	True	False	8704,2	926,3403
Genetic	g100_rand	MultiAgents\a3_5	10	3296	0,6	0,025	True	False	8789,61	1025,2121
Genetic	g100_rand	MultiAgents\a3_5	11	3296	0,6	0,025	True	False	8549,78	1126,3614
Genetic	g100_rand	MultiAgents\a3_5	12	3296	0,6	0,025	True	False	8465,86	1214,5465
Genetic	g100_rand	MultiAgents\a3_5	13	3296	0,6	0,025	True	False	8663,11	1327,7723
Genetic	g100_rand	MultiAgents\a3_5	14	3296	0,6	0,025	True	False	8499,46	1379,9928
Genetic	g100_rand	MultiAgents\a3_5	15	3296	0,6	0,025	True	False	8446,93	1476,1028
Genetic	g100_rand	MultiAgents\a3_5	16	3296	0,6	0,025	True	False	8425,67	1539,016
Genetic	g100_rand	MultiAgents\a3_5	17	3296	0,6	0,025	True	False	8473,63	1670,7313
Genetic	g100_rand	MultiAgents\a3_5	18	3296	0,6	0,025	True	False	8474,63	1776,455
Genetic	g100_rand	MultiAgents\a3_5	19	3296	0,6	0,025	True	False	8455,65	1860,6281
Genetic	g100_rand	MultiAgents\a3_5	20	3296	0,6	0,025	True	False	8564,43	1916,8495
Genetic	g100_rand	MultiAgents\a3_5	21	3296	0,6	0,025	True	False	8526,86	2029,8325
Genetic	g100_rand	MultiAgents\a3_5	22	3296	0,6	0,025	True	False	8290,83	2109,2112
Genetic	g100_rand	MultiAgents\a3_5	23	3296	0,6	0,025	True	False	8059,25	2191,7685
Genetic	g100_rand	MultiAgents\a3_5	24	3296	0,6	0,025	True	False	8263,43	2304,5706
Genetic	g100_rand	MultiAgents\a3_5	25	3296	0,6	0,025	True	False	8390,79	2393,4183
Genetic	g100_rand	MultiAgents\a3_5	26	3296	0,6	0,025	True	False	8385,11	2516,523
Genetic	g100_rand	MultiAgents\a3_5	27	3296	0,6	0,025	True	False	8025,65	2600,8455
Genetic	g100_rand	MultiAgents\a3_5	28	3296	0,6	0,025	True	False	8302,18	2723,3393
Genetic	g100_rand	MultiAgents\a3_5	29	3296	0,6	0,025	True	False	8385,79	2830,415
Genetic	g100_rand	MultiAgents\a3_5	30	3296	0,6	0,025	True	False	8284,85	2861,0881
Genetic	g100_rand	MultiAgents\a3_5	31	3296	0,6	0,025	True	False	8146,5	2945,859
Genetic	g100_rand	MultiAgents\a3_5	32	3296	0,6	0,025	True	False	8111,88	2971,5225
Genetic	g100_rand	MultiAgents\a3_5	33	3296	0,6	0,025	True	False	8301,57	3124,2106
Genetic	g100_rand	MultiAgents\a3_5	34	3296	0,6	0,025	True	False	8304,52	3464,5269
Genetic	g100_rand	MultiAgents\a3_5	35	3296	0,6	0,025	True	False	8029,22	3238,8418
Genetic	g100_rand	MultiAgents\a3_5	36	3296	0,6	0,025	True	False	8298,3	3451,2358
Genetic	g100_rand	MultiAgents\a3_5	37	3296	0,6	0,025	True	False	8387,98	3748,7912
Genetic	g100_rand	MultiAgents\a3_5	38	3296	0,6	0,025	True	False	8175,87	3617,9877
Genetic	g100_rand	MultiAgents\a3_5	39	3296	0,6	0,025	True	False	8239,9	3647,2126
Genetic	g100_rand	MultiAgents\a3_5	40	3296	0,6	0,025	True	False	8364,9	3831,0951
Genetic	g100_rand	MultiAgents\a3_5	41	3296	0,6	0,025	True	False	8261,63	3793,281
Genetic	g100_rand	MultiAgents\a3_5	42	3296	0,6	0,025	True	False	8193,68	3981,2629
Genetic	g100_rand	MultiAgents\a3_5	43	3296	0,6	0,025	True	False	8200,84	4049,8568
Genetic	g100_rand	MultiAgents\a3_5	44	3296	0,6	0,025	True	False	8097,27	4140,9492
Genetic	g100_rand	MultiAgents\a3_5	45	3296	0,6	0,025	True	False	8131,37	4191,2292
Genetic	g100_rand	MultiAgents\a3_5	46	3296	0,6	0,025	True	False	8196,95	4288,0983
Genetic	g100_rand	MultiAgents\a3_5	47	3296	0,6	0,025	True	False	8275,72	4429,5036
Genetic	g100_rand	MultiAgents\a3_5	48	3296	0,6	0,025	True	False	8116,27	4530,0727
Genetic	g100_rand	MultiAgents\a3_5	49	3296	0,6	0,025	True	False	8064,84	4579,3868
Genetic	g100_rand	MultiAgents\a3_5	50	3296	0,6	0,025	True	False	8091,14	4615,8377
Genetic	g100_rand	MultiAgents\a3_5	51	3296	0,6	0,025	True	False	7923,05	4681,404
Genetic	g100_rand	MultiAgents\a3_5	52	3296	0,6	0,025	True	False	7978,29	4739,393
Genetic	g100_rand	MultiAgents\a3_5	53	3296	0,6	0,025	True	False	7828,39	4950,313
Genetic	g100_rand	MultiAgents\a3_5	54	3296	0,6	0,025	True	False	8165,23	4997,7979
Genetic	g100_rand	MultiAgents\a3_5	55	3296	0,6	0,025	True	False	8127,75	5012,2175
Genetic	g100_rand	MultiAgents\a3_5	56	3296	0,6	0,025	True	False	8094,93	5148,185
Genetic	g100_rand	MultiAgents\a3_5	57	3296	0,6	0,025	True	False	8169,07	5256,4708
Genetic	g100_rand	MultiAgents\a3_5	58	3296	0,6	0,025	True	False	7744,76	5458,3095
Genetic	g100_rand	MultiAgents\a3_5	59	3296	0,6	0,025	True	False	7867,35	5444,4544
Genetic	g100_rand	MultiAgents\a3_5	60	3296	0,6	0,025	True	False	7781,78	5558,4797
Genetic	g100_rand	MultiAgents\a3_5	61	3296	0,6	0,025	True	False	8120,41	5606,7011
Genetic	g100_rand	MultiAgents\a3_5	62	3296	0,6	0,025	True	False	8050,38	5805,3117
Genetic	g100_rand	MultiAgents\a3_5	63	3296	0,6	0,025	True	False	8130,26	5863,1365
Genetic	g100_rand	MultiAgents\a3_5	64	3296	0,6	0,025	True	False	8169,24	5876,6917
Genetic	g100_rand	MultiAgents\a3_5	65	3296	0,6	0,025	True	False	7985,37	5966,1478
Genetic	g100_rand	MultiAgents\a3_5	66	3296	0,6	0,025	True	False	7937,19	6099,5433
Genetic	g100_rand	MultiAgents\a3_5	67	3296	0,6	0,025	True	False	8018,73	6173,8315
