Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g14	agents2_max0_2	60	70	345654	351,64	90,1137
GreedySearch	g14	agents2_max0_2	60	70	345654	345,47	23,5409
GreedySearch	g14	agents2_max0_2	60	70	345654	351,87	17,0026
GreedySearch	g14	agents2_max0_2	60	70	345654	308,84	16,9326
GreedySearch	g14	agents2_max0_2	60	70	345654	317,23	18,9572
GreedySearch	g14	agents2_max0_2	60	70	345654	359,57	18,4337
GreedySearch	g14	agents2_max0_2	60	70	345654	351,79	18,929
GreedySearch	g14	agents2_max0_2	60	70	345654	358,34	18,1243
GreedySearch	g14	agents2_max0_2	60	70	345654	377,38	16,6681
GreedySearch	g14	agents2_max0_2	60	70	345654	343,47	19,5827
GreedySearch	g14	agents2_max0_2	60	70	345654	338,06	20,5235
GreedySearch	g14	agents2_max0_2	60	70	345654	373,23	16,6404
GreedySearch	g14	agents2_max0_2	60	70	345654	340,74	25,3508
GreedySearch	g14	agents2_max0_2	60	70	345654	364,16	18,3099
GreedySearch	g14	agents2_max0_2	60	70	345654	278,86	18,1427
GreedySearch	g14	agents2_max0_2	60	70	345654	345,05	16,5683
GreedySearch	g14	agents2_max0_2	60	70	345654	336,23	21,2889
GreedySearch	g14	agents2_max0_2	60	70	345654	359,64	22,0206
GreedySearch	g14	agents2_max0_2	60	70	345654	370,83	16,6737
GreedySearch	g14	agents2_max0_2	60	70	345654	372,72	20,5683
GreedySearch	g14	agents2_max0_2	60	70	345654	348,96	27,1394
GreedySearch	g14	agents2_max0_2	60	70	345654	370,51	21,4045
GreedySearch	g14	agents2_max0_2	60	70	345654	327,72	17,0926
GreedySearch	g14	agents2_max0_2	60	70	345654	331,11	25,71
GreedySearch	g14	agents2_max0_2	60	70	345654	299,51	18,8949
GreedySearch	g14	agents2_max0_2	60	70	345654	350,65	16,7432
GreedySearch	g14	agents2_max0_2	60	70	345654	364,17	21,0389
GreedySearch	g14	agents2_max0_2	60	70	345654	304,73	15,9462
GreedySearch	g14	agents2_max0_2	60	70	345654	361,27	17,6298
GreedySearch	g14	agents2_max0_2	60	70	345654	331,24	16,5474
GreedySearch	g14	agents2_max0_2	60	70	345654	370,3	18,1367
GreedySearch	g14	agents2_max0_2	60	70	345654	351,08	20,4108
GreedySearch	g14	agents2_max0_2	60	70	345654	336,48	18,1593
GreedySearch	g14	agents2_max0_2	60	70	345654	311,04	17,6273
GreedySearch	g14	agents2_max0_2	60	70	345654	328,57	17,6277
GreedySearch	g14	agents2_max0_2	60	70	345654	355,04	20,7697
GreedySearch	g14	agents2_max0_2	60	70	345654	323,48	15,3992
GreedySearch	g14	agents2_max0_2	60	70	345654	358,95	19,6642
GreedySearch	g14	agents2_max0_2	60	70	345654	343,39	17,3781
GreedySearch	g14	agents2_max0_2	60	70	345654	362,44	15,6629
GreedySearch	g14	agents2_max0_2	60	70	345654	311,97	22,8838
GreedySearch	g14	agents2_max0_2	60	70	345654	357,6	23,0254
GreedySearch	g14	agents2_max0_2	60	70	345654	353,07	17,3333
GreedySearch	g14	agents2_max0_2	60	70	345654	327,57	15,6441
GreedySearch	g14	agents2_max0_2	60	70	345654	372,04	19,3757
GreedySearch	g14	agents2_max0_2	60	70	345654	366,2	15,2725
GreedySearch	g14	agents2_max0_2	60	70	345654	350,42	21,4946
GreedySearch	g14	agents2_max0_2	60	70	345654	377,08	20,6621
GreedySearch	g14	agents2_max0_2	60	70	345654	348,49	18,1845
GreedySearch	g14	agents2_max0_2	60	70	345654	352,89	16,026
