Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	702,08	8,7854
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1172,79	0,8494
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1065,69	1,0257
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	686,4	0,9275
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	950	0,7931
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1065,68	1,3661
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1152,22	0,8814
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1055,88	1,3597
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	923,82	1,4839
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1189,17	0,8669
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	944,19	1,3081
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	903,55	0,829
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	927,37	1,9157
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	827,81	0,861
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	824,26	0,7876
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1259,43	1,1144
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	956,32	1,2488
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1102,22	0,7513
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	998,08	0,8891
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	900	1,1438
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	903,11	0,7505
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1165,68	0,7876
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1018,8	0,858
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	877,37	1,332
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1026,59	1,3316
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1076,48	0,7982
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1175,9	1,3239
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1003,11	0,8153
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1134,28	0,8657
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	923,82	0,788
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1112,13	0,7667
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1217,77	1,1729
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	927,03	1,306
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	736,39	0,8021
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1276,93	0,8128
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1203,11	0,8597
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1110,21	0,8059
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1102,22	0,8204
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1298,52	1,1895
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1002,77	1,7514
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1156,66	0,925
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	903,11	1,2283
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	973,82	1,0022
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1225,9	0,9894
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1193,91	0,8699
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1175,56	0,8584
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	994,97	1,7326
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1023,48	0,9591
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1073,82	0,8183
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	973,82	0,8098
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1153,55	1,3184
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1139,94	0,7534
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	874,26	0,8746
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1152,22	1,2249
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	944,97	4,0183
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	903,55	1,1302
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1076,93	1,3559
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1040,8	1,2637
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1044,53	0,8371
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1044,53	0,8806
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1118,79	0,8384
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1270,71	1,6012
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	926,93	0,8149
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1044,53	1,3077
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	905,88	0,7355
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	944,53	0,7893
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	950	0,7654
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1122,79	0,8115
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	997,74	0,8379
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	956,22	0,8955
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	973,48	0,8358
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1068,35	0,8102
