Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6399,44	503,8734
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6466,87	456,4316
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6624,68	491,4933
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6611,73	456,1368
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6497,97	453,6612
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6431,29	466,5487
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6365,23	479,9298
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6512,17	484,1158
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6418,13	458,3729
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6552,09	441,9565
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6718,86	505,6386
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6462,78	452,6351
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6713,16	589,2873
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6637,8	476,9244
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6516,69	467,9238
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6418,91	533,1555
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6270,43	586,9803
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6230,28	537,8501
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6707,9	466,2052
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6623,09	497,4176
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6705,13	458,7893
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6529,43	467,1443
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6610,23	499,5914
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6693,31	620,0128
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6629,96	758,8884
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6547,73	710,9076
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6537,13	502,1868
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6515,11	521,1389
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6690,6	505,1773
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6490,79	509,985
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6477,67	524,152
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6595,46	474,323
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6443,69	489,5562
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6019,13	496,3321
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6535,95	451,2693
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6446,31	489,3156
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6238,06	564,3866
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6449,55	594,8634
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6561,31	470,9852
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6658,95	506,4603
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6788,77	457,4603
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6436,09	476,2182
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6439,72	499,8577
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6279,84	566,9432
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6603,07	507,8594
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6669,76	469,9262
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6551,62	492,0172
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6439,4	441,9339
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6721,72	494,0021
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6414,35	466,1288
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6415,77	459,6414
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6319,97	509,1999
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6490,46	483,4856
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6723,16	467,7041
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6765,7	521,7469
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6679,61	462,6477
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6235,89	489,2977
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6521,39	469,4914
GreedySearch	g100_racs	MultiAgents\a3_5	250	150	100	6618,57	513,5976
