Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g100_racs	MultiAgents\a3_5	250	1	100	7753,75	3,1342
GreedySearch	g100_racs	MultiAgents\a3_5	250	3	100	6556,17	13,4092
GreedySearch	g100_racs	MultiAgents\a3_5	250	5	100	7120,32	18,3035
GreedySearch	g100_racs	MultiAgents\a3_5	250	7	100	7268,53	25,4975
GreedySearch	g100_racs	MultiAgents\a3_5	250	9	100	6890,96	36,4321
GreedySearch	g100_racs	MultiAgents\a3_5	250	11	100	6874,56	46,4165
GreedySearch	g100_racs	MultiAgents\a3_5	250	13	100	6500,56	38,0394
GreedySearch	g100_racs	MultiAgents\a3_5	250	15	100	6842,17	46,7216
GreedySearch	g100_racs	MultiAgents\a3_5	250	17	100	7136,16	59,5766
GreedySearch	g100_racs	MultiAgents\a3_5	250	19	100	6739,42	55,5958
GreedySearch	g100_racs	MultiAgents\a3_5	250	21	100	6568,23	66,9639
GreedySearch	g100_racs	MultiAgents\a3_5	250	23	100	6726,66	68,9872
GreedySearch	g100_racs	MultiAgents\a3_5	250	25	100	6948,3	79,8057
GreedySearch	g100_racs	MultiAgents\a3_5	250	27	100	6762,07	106,9899
GreedySearch	g100_racs	MultiAgents\a3_5	250	29	100	6813,27	101,6886
GreedySearch	g100_racs	MultiAgents\a3_5	250	31	100	6765,35	104,9543
GreedySearch	g100_racs	MultiAgents\a3_5	250	33	100	6608,65	103,8774
GreedySearch	g100_racs	MultiAgents\a3_5	250	35	100	6621,78	112,3625
GreedySearch	g100_racs	MultiAgents\a3_5	250	37	100	6810,42	124,7098
GreedySearch	g100_racs	MultiAgents\a3_5	250	39	100	6717,54	120,1406
GreedySearch	g100_racs	MultiAgents\a3_5	250	41	100	6501,49	130,8034
GreedySearch	g100_racs	MultiAgents\a3_5	250	43	100	6762,65	134,3089
GreedySearch	g100_racs	MultiAgents\a3_5	250	45	100	6659,33	138,8648
GreedySearch	g100_racs	MultiAgents\a3_5	250	47	100	6727,22	175,5888
GreedySearch	g100_racs	MultiAgents\a3_5	250	49	100	6736,35	158,7701
GreedySearch	g100_racs	MultiAgents\a3_5	250	51	100	6757,62	156,5583
GreedySearch	g100_racs	MultiAgents\a3_5	250	53	100	6636,59	163,1878
GreedySearch	g100_racs	MultiAgents\a3_5	250	55	100	6802,58	169,8562
GreedySearch	g100_racs	MultiAgents\a3_5	250	57	100	6794,12	194,4957
GreedySearch	g100_racs	MultiAgents\a3_5	250	59	100	6602,12	198,2538
GreedySearch	g100_racs	MultiAgents\a3_5	250	61	100	6471,63	207,0815
GreedySearch	g100_racs	MultiAgents\a3_5	250	63	100	6624,37	192,1102
GreedySearch	g100_racs	MultiAgents\a3_5	250	65	100	6924,66	207,3874
GreedySearch	g100_racs	MultiAgents\a3_5	250	67	100	6291,28	209,1722
GreedySearch	g100_racs	MultiAgents\a3_5	250	69	100	6729,43	236,789
GreedySearch	g100_racs	MultiAgents\a3_5	250	71	100	6706,35	277,4784
GreedySearch	g100_racs	MultiAgents\a3_5	250	73	100	6615,01	226,284
GreedySearch	g100_racs	MultiAgents\a3_5	250	75	100	6714,79	278,7145
GreedySearch	g100_racs	MultiAgents\a3_5	250	77	100	6556,61	238,4863
GreedySearch	g100_racs	MultiAgents\a3_5	250	79	100	6598,78	295,587
GreedySearch	g100_racs	MultiAgents\a3_5	250	81	100	6742,6	261,5476
GreedySearch	g100_racs	MultiAgents\a3_5	250	83	100	6505,83	261,3108
GreedySearch	g100_racs	MultiAgents\a3_5	250	85	100	6873,99	267,5674
GreedySearch	g100_racs	MultiAgents\a3_5	250	87	100	6437,34	323,7039
GreedySearch	g100_racs	MultiAgents\a3_5	250	89	100	6782,25	288,9903
GreedySearch	g100_racs	MultiAgents\a3_5	250	91	100	6381,09	288,1865
GreedySearch	g100_racs	MultiAgents\a3_5	250	93	100	6607,3	317,4873
GreedySearch	g100_racs	MultiAgents\a3_5	250	95	100	6775,35	372,305
GreedySearch	g100_racs	MultiAgents\a3_5	250	97	100	6665,15	405,861
GreedySearch	g100_racs	MultiAgents\a3_5	250	99	100	6476,56	457,5064
GreedySearch	g100_racs	MultiAgents\a3_5	250	101	100	6762,49	391,7166
GreedySearch	g100_racs	MultiAgents\a3_5	250	103	100	6716,28	417,4829
GreedySearch	g100_racs	MultiAgents\a3_5	250	105	100	6524,15	407,5651
GreedySearch	g100_racs	MultiAgents\a3_5	250	107	100	6040,96	407,292
GreedySearch	g100_racs	MultiAgents\a3_5	250	109	100	6604,75	362,1844
GreedySearch	g100_racs	MultiAgents\a3_5	250	111	100	6645,25	379,9103
GreedySearch	g100_racs	MultiAgents\a3_5	250	113	100	6768,89	508,888
GreedySearch	g100_racs	MultiAgents\a3_5	250	115	100	6568,11	368,3476
GreedySearch	g100_racs	MultiAgents\a3_5	250	117	100	6384,35	380,1236
GreedySearch	g100_racs	MultiAgents\a3_5	250	119	100	6514,61	386,4187
GreedySearch	g100_racs	MultiAgents\a3_5	250	121	100	6723,02	366,3786
GreedySearch	g100_racs	MultiAgents\a3_5	250	123	100	6464,41	419,9196
GreedySearch	g100_racs	MultiAgents\a3_5	250	125	100	6600,6	425,5636
GreedySearch	g100_racs	MultiAgents\a3_5	250	127	100	6746,94	442,9596
GreedySearch	g100_racs	MultiAgents\a3_5	250	129	100	6529,84	511,3665
GreedySearch	g100_racs	MultiAgents\a3_5	250	131	100	6755,82	443,3577
GreedySearch	g100_racs	MultiAgents\a3_5	250	133	100	6587,64	445,706
GreedySearch	g100_racs	MultiAgents\a3_5	250	135	100	6561,53	445,8865
GreedySearch	g100_racs	MultiAgents\a3_5	250	137	100	6410,45	425,2956
GreedySearch	g100_racs	MultiAgents\a3_5	250	139	100	6187,39	695,342
GreedySearch	g100_racs	MultiAgents\a3_5	250	141	100	6718,75	635,4978
GreedySearch	g100_racs	MultiAgents\a3_5	250	143	100	6619,88	619,9151
GreedySearch	g100_racs	MultiAgents\a3_5	250	145	100	6503,15	524,2485
GreedySearch	g100_racs	MultiAgents\a3_5	250	147	100	6668,57	476,4947
GreedySearch	g100_racs	MultiAgents\a3_5	250	149	100	6520,2	532,7242
