Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g100_racs	MultiAgents\a3_5	1	100	100	9858,81	12,0814
GreedySearch	g100_racs	MultiAgents\a3_5	3	100	100	9173,63	17,4378
GreedySearch	g100_racs	MultiAgents\a3_5	5	100	100	9148	16,6032
GreedySearch	g100_racs	MultiAgents\a3_5	7	100	100	8733,82	24,683
GreedySearch	g100_racs	MultiAgents\a3_5	9	100	100	8319,73	30,6649
GreedySearch	g100_racs	MultiAgents\a3_5	11	100	100	8763,37	31,4235
GreedySearch	g100_racs	MultiAgents\a3_5	13	100	100	8414,15	28,2546
GreedySearch	g100_racs	MultiAgents\a3_5	15	100	100	8390,47	27,953
GreedySearch	g100_racs	MultiAgents\a3_5	17	100	100	7992,74	29,4642
GreedySearch	g100_racs	MultiAgents\a3_5	19	100	100	8446,99	38,3811
GreedySearch	g100_racs	MultiAgents\a3_5	21	100	100	7756,11	42,2877
GreedySearch	g100_racs	MultiAgents\a3_5	23	100	100	8062,05	38,4724
GreedySearch	g100_racs	MultiAgents\a3_5	25	100	100	8127,37	47,5212
GreedySearch	g100_racs	MultiAgents\a3_5	27	100	100	8139,65	43,0988
GreedySearch	g100_racs	MultiAgents\a3_5	29	100	100	7946,86	59,0399
GreedySearch	g100_racs	MultiAgents\a3_5	31	100	100	8142,97	60,7606
GreedySearch	g100_racs	MultiAgents\a3_5	33	100	100	7454,75	56,6032
GreedySearch	g100_racs	MultiAgents\a3_5	35	100	100	8023,34	50,812
GreedySearch	g100_racs	MultiAgents\a3_5	37	100	100	8025,72	63,5335
GreedySearch	g100_racs	MultiAgents\a3_5	39	100	100	7742,15	57,2829
GreedySearch	g100_racs	MultiAgents\a3_5	41	100	100	7991,81	91,4358
GreedySearch	g100_racs	MultiAgents\a3_5	43	100	100	8035,42	59,7055
GreedySearch	g100_racs	MultiAgents\a3_5	45	100	100	7945,8	65,6963
GreedySearch	g100_racs	MultiAgents\a3_5	47	100	100	7731,81	63,7481
GreedySearch	g100_racs	MultiAgents\a3_5	49	100	100	7950,6	67,8164
GreedySearch	g100_racs	MultiAgents\a3_5	51	100	100	7560,13	74,3107
GreedySearch	g100_racs	MultiAgents\a3_5	53	100	100	7515,08	76,0071
GreedySearch	g100_racs	MultiAgents\a3_5	55	100	100	7820,31	74,5526
GreedySearch	g100_racs	MultiAgents\a3_5	57	100	100	7710,99	90,5065
GreedySearch	g100_racs	MultiAgents\a3_5	59	100	100	7500	78,6746
GreedySearch	g100_racs	MultiAgents\a3_5	61	100	100	7795,45	103,4161
GreedySearch	g100_racs	MultiAgents\a3_5	63	100	100	7415,36	113,9181
GreedySearch	g100_racs	MultiAgents\a3_5	65	100	100	7732,4	91,4844
GreedySearch	g100_racs	MultiAgents\a3_5	67	100	100	7691,82	96,7328
GreedySearch	g100_racs	MultiAgents\a3_5	69	100	100	7588,62	101,7718
