Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1726,36	3,4112
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1838,85	4,1497
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1784,74	4,1736
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1521,04	2,8326
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1923,46	2,3633
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1952,19	2,8928
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1768,76	4,3046
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1815,7	4,148
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1720,86	4,2389
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1764,14	5,006
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1781,59	4,2052
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1764,1	4,3554
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1838,47	2,8467
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1780,1	2,5821
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1836,84	3,6834
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1784,74	2,5809
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1839,13	2,9307
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1774,2	2,528
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1825,56	3,6113
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1844,9	2,4861
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1683,88	3,4086
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1759,58	2,5557
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1947,26	3,4363
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1759,58	4,1096
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1880,55	2,5757
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1817,16	2,4874
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1682,44	2,6082
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1742,93	2,4349
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1575,59	3,1048
GreedySearch	g11_rand	MultiAgents\a1_0	30	30	30	1780,1	2,5642
