Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1930,14	4,1151
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1992,71	2,7677
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1789,5	3,5379
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	2034,47	2,7259
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1870,43	2,7797
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1565,68	2,9435
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1899,38	3,7887
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	2085,33	5,1916
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1951,19	3,3706
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1894,97	4,4778
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1915,68	2,9115
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1693,05	2,7844
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1527,37	2,7733
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1648,08	5,7314
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1619,23	2,7703
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1591,42	2,6841
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1870,71	2,7332
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1601,19	2,6769
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1849,72	2,679
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1707,11	2,7729
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1636,39	2,6807
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1928,26	4,1105
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	2250,75	2,7583
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1710,66	2,8535
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1752,22	2,7532
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1994,53	2,7063
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1897,64	2,8727
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1944,19	2,8774
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1626,93	4,5798
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1668,45	3,5332
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1636,39	2,7886
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1626,59	2,9469
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1781,37	2,8654
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1760,22	5,9217
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1901,19	4,6442
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1944,97	3,9295
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1823,82	3,0161
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1544,53	2,9252
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1877,37	4,6937
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1644,53	2,6717
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1570,71	2,7067
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1644,53	2,8177
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1997,64	4,4074
GreedySearch	g12_negyzet	MultiAgents\a1_0	30	30	30	1848,52	3,6236
