Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1444,78	3,7768
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1410	4,1228
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1438,92	2,7421
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1424,6	2,5877
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1424,6	2,9521
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1438,98	3,6654
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1426,56	4,2862
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1432,88	4,0964
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1422,36	2,7443
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1463	3,3954
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1627,56	3,0907
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1458,97	4,4757
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1424,14	3,0267
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1424,14	3,409
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1436,5	3,7516
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1439,38	3,4624
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1438,98	2,6679
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1454,84	2,6875
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1440,76	2,7524
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1438,74	2,5715
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1424,14	2,6658
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1436,5	2,7025
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1811,23	3,3382
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1444,6	2,6739
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1629,4	2,6201
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1430,64	2,7298
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1624,68	3,7649
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1428,4	2,6201
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1432,42	3,563
GreedySearch	g12_negyzet_sokkeves	MultiAgents\a1_0	30	30	30	1444,83	2,6265
