Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g14	agents2_max4_1	50	30	30	407,53	16,4799
GreedySearch	g14	agents2_max4_1	50	30	30	385,57	5,684
GreedySearch	g14	agents2_max4_1	50	30	30	403,25	7,2315
GreedySearch	g14	agents2_max4_1	50	30	30	420,32	5,4203
GreedySearch	g14	agents2_max4_1	50	30	30	371,48	5,1891
GreedySearch	g14	agents2_max4_1	50	30	30	366,2	5,7872
GreedySearch	g14	agents2_max4_1	50	30	30	389,16	5,3111
GreedySearch	g14	agents2_max4_1	50	30	30	384,98	8,0703
GreedySearch	g14	agents2_max4_1	50	30	30	390,53	5,3674
GreedySearch	g14	agents2_max4_1	50	30	30	372,66	5,6405
GreedySearch	g14	agents2_max4_1	50	30	30	399,94	5,2693
GreedySearch	g14	agents2_max4_1	50	30	30	382,7	7,7264
GreedySearch	g14	agents2_max4_1	50	30	30	357,86	8,2248
GreedySearch	g14	agents2_max4_1	50	30	30	339,46	5,1345
GreedySearch	g14	agents2_max4_1	50	30	30	373,96	5,6942
GreedySearch	g14	agents2_max4_1	50	30	30	385,77	5,2723
GreedySearch	g14	agents2_max4_1	50	30	30	329,62	5,6601
GreedySearch	g14	agents2_max4_1	50	30	30	389,29	6,4302
GreedySearch	g14	agents2_max4_1	50	30	30	341,51	7,2127
GreedySearch	g14	agents2_max4_1	50	30	30	397,88	52,5072
GreedySearch	g14	agents2_max4_1	50	30	30	360,19	4,9595
GreedySearch	g14	agents2_max4_1	50	30	30	374,2	5,053
GreedySearch	g14	agents2_max4_1	50	30	30	385,51	5,0841
GreedySearch	g14	agents2_max4_1	50	30	30	381,91	5,0431
GreedySearch	g14	agents2_max4_1	50	30	30	377,69	5,14
GreedySearch	g14	agents2_max4_1	50	30	30	351,87	5,0764
GreedySearch	g14	agents2_max4_1	50	30	30	380,5	5,3452
GreedySearch	g14	agents2_max4_1	50	30	30	323,06	4,843
GreedySearch	g14	agents2_max4_1	50	30	30	400,8	6,1128
GreedySearch	g14	agents2_max4_1	50	30	30	369,13	5,1255
GreedySearch	g14	agents2_max4_1	50	30	30	352,81	5,1135
GreedySearch	g14	agents2_max4_1	50	30	30	410,62	5,5735
GreedySearch	g14	agents2_max4_1	50	30	30	370,64	5,5394
GreedySearch	g14	agents2_max4_1	50	30	30	406,75	6,865
GreedySearch	g14	agents2_max4_1	50	30	30	391,55	5,8453
GreedySearch	g14	agents2_max4_1	50	30	30	387,79	6,7076
GreedySearch	g14	agents2_max4_1	50	30	30	425,93	4,9958
GreedySearch	g14	agents2_max4_1	50	30	30	340,77	5,2159
GreedySearch	g14	agents2_max4_1	50	30	30	362,36	5,0628
GreedySearch	g14	agents2_max4_1	50	30	30	386,88	4,9412
GreedySearch	g14	agents2_max4_1	50	30	30	376,87	6,9324
GreedySearch	g14	agents2_max4_1	50	30	30	405,71	5,361
GreedySearch	g14	agents2_max4_1	50	30	30	390,14	5,0653
GreedySearch	g14	agents2_max4_1	50	30	30	394,14	5,0167
GreedySearch	g14	agents2_max4_1	50	30	30	424,34	5,1946
GreedySearch	g14	agents2_max4_1	50	30	30	375,5	6,2276
GreedySearch	g14	agents2_max4_1	50	30	30	374,69	5,1784
GreedySearch	g14	agents2_max4_1	50	30	30	425,35	5,1191
GreedySearch	g14	agents2_max4_1	50	30	30	394,42	5,1302
GreedySearch	g14	agents2_max4_1	50	30	30	402,2	5,0329
GreedySearch	g14	agents2_max4_1	50	30	30	375,09	5,1763
GreedySearch	g14	agents2_max4_1	50	30	30	353,82	5,4421
GreedySearch	g14	agents2_max4_1	50	30	30	340,62	5,5837
GreedySearch	g14	agents2_max4_1	50	30	30	360,87	5,777
GreedySearch	g14	agents2_max4_1	50	30	30	401,49	5,576
GreedySearch	g14	agents2_max4_1	50	30	30	402,27	5,0815
GreedySearch	g14	agents2_max4_1	50	30	30	398,31	5,2441
GreedySearch	g14	agents2_max4_1	50	30	30	366,89	5,1827
GreedySearch	g14	agents2_max4_1	50	30	30	432,11	4,9894
GreedySearch	g14	agents2_max4_1	50	30	30	393,41	5,6908
GreedySearch	g14	agents2_max4_1	50	30	30	355,34	7,1568
GreedySearch	g14	agents2_max4_1	50	30	30	386,39	5,2659
GreedySearch	g14	agents2_max4_1	50	30	30	368,74	5,067
GreedySearch	g14	agents2_max4_1	50	30	30	394,75	4,9604
GreedySearch	g14	agents2_max4_1	50	30	30	372,29	7,0011
GreedySearch	g14	agents2_max4_1	50	30	30	376,33	6,9456
GreedySearch	g14	agents2_max4_1	50	30	30	405,38	7,9842
GreedySearch	g14	agents2_max4_1	50	30	30	347,66	6,1712
GreedySearch	g14	agents2_max4_1	50	30	30	387,82	5,6272
GreedySearch	g14	agents2_max4_1	50	30	30	344,97	5,1076
GreedySearch	g14	agents2_max4_1	50	30	30	387,21	5,6827
GreedySearch	g14	agents2_max4_1	50	30	30	341,1	7,8835
GreedySearch	g14	agents2_max4_1	50	30	30	349,87	5,2885
GreedySearch	g14	agents2_max4_1	50	30	30	386,75	6,2719
GreedySearch	g14	agents2_max4_1	50	30	30	375,99	7,1082
GreedySearch	g14	agents2_max4_1	50	30	30	386,27	5,1635
GreedySearch	g14	agents2_max4_1	50	30	30	357,72	6,455
GreedySearch	g14	agents2_max4_1	50	30	30	389,17	6,0868
GreedySearch	g14	agents2_max4_1	50	30	30	380,02	5,6959
GreedySearch	g14	agents2_max4_1	50	30	30	416,63	5,0385
GreedySearch	g14	agents2_max4_1	50	30	30	346,9	5,1229
GreedySearch	g14	agents2_max4_1	50	30	30	370,39	4,8729
GreedySearch	g14	agents2_max4_1	50	30	30	372,93	5,2091
GreedySearch	g14	agents2_max4_1	50	30	30	367,07	5,2373
GreedySearch	g14	agents2_max4_1	50	30	30	389,06	5,1157
GreedySearch	g14	agents2_max4_1	50	30	30	395,51	5,0227
GreedySearch	g14	agents2_max4_1	50	30	30	342,64	5,0274
GreedySearch	g14	agents2_max4_1	50	30	30	400,79	5,3367
GreedySearch	g14	agents2_max4_1	50	30	30	379,4	5,8359
GreedySearch	g14	agents2_max4_1	50	30	30	385,02	7,348
GreedySearch	g14	agents2_max4_1	50	30	30	377,89	8,2713
GreedySearch	g14	agents2_max4_1	50	30	30	384,58	5,271
GreedySearch	g14	agents2_max4_1	50	30	30	363,21	5,1464
GreedySearch	g14	agents2_max4_1	50	30	30	372,85	5,8448
GreedySearch	g14	agents2_max4_1	50	30	30	417,82	5,0854
GreedySearch	g14	agents2_max4_1	50	30	30	419,4	5,0538
GreedySearch	g14	agents2_max4_1	50	30	30	388,51	5,1477
GreedySearch	g14	agents2_max4_1	50	30	30	420,75	5,5556
GreedySearch	g14	agents2_max4_1	50	30	30	411,08	5,4139
GreedySearch	g14	agents2_max4_1	50	30	30	352,28	5,5184
