Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4869,45	6,1678
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4159,94	0,7581
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5721,24	0,4458
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5893,53	0,3972
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5026,66	0,9779
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5214,83	0,4437
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4733,55	0,4697
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4713,02	0,5363
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5244,39	0,4945
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4718,86	0,4718
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5293,07	0,7675
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4870,24	0,4317
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5285,15	0,4565
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	6513,68	0,4646
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4388,12	0,4838
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5443,87	0,5081
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5406,08	0,4364
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4534,11	0,5102
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4797,36	0,5273
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5598,24	0,4599
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4771,14	0,4573
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	6118,56	0,4373
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5163,36	0,4049
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5627,51	1,7361
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5066,65	0,468
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5291,76	0,6289
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	4994,63	0,6592
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	6078,21	0,4923
GreedySearch	g50_rand	MultiAgents\a3_5	50	1	50	5820,13	0,5248
