Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	3,0877
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7992
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,8163
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,8487
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,7938
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,1474
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7783
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,6534
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7536
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,0403
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,2092
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,5984
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,9235
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7787
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7843
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7612
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,8146
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7996
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,9217
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,6768
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7198
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,8888
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7181
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,8107
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,8269
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,7915
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,6622
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	2,2673
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,6046
GreedySearch	g5	MultiAgents\a1_0	30	30	30	1293,77	1,725
