Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	3,6936
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,1384
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	4,2248
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,7767
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,6235
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,0185
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	1,9554
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,9068
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	3,3954
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,7046
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	3,4342
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,0625
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	1,9993
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	3,0963
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	1,9123
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,045
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,0215
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,1597
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,2101
GreedySearch	g5	MultiAgents\a2_4	30	30	30	723,61	2,0514
