Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	53,1652
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,4576
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	33,4289
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	44,349
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,1266
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,0804
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	43,5515
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,5902
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,3702
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	38,2212
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	34,1239
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	29,8658
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,5335
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,8263
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	29,1323
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,5414
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,5862
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	38,9781
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	36,6758
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,4627
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,403
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	33,5095
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,1499
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	31,3049
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	44,8051
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	38,9358
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,4013
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	46,3082
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,7936
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,8467
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	33,2804
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	40,5922
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	31,328
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	33,9635
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	38,877
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	31,3753
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	33,5944
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	34,1422
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	40,247
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	34,5399
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	33,8286
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	34,225
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	36,887
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,691
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	31,2507
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	40,9472
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	40,3985
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,092
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	37,341
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	36,8426
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,1774
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,4753
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	46,3278
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,4049
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	30,5045
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,7603
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	33,0073
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	32,3174
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	29,6051
GreedySearch	g9_haromszog	MultiAgents\a2_0	100	100	100	631,51	35,9547
