Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	956,66	10,3769
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	920,71	0,9467
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1146,61	1,2283
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	920,71	1,2616
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1196,96	0,8401
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1157,11	0,9092
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1285,06	1,0218
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	927,37	0,8972
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1106,66	0,8601
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	977,03	1,2953
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1198,52	0,8452
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1005,19	1,3657
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1065,69	2,1525
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	926,93	0,9463
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1267,91	1,1912
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	994,53	0,8145
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1023,82	1,0461
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1055,33	1,1221
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1044,19	1,1485
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1065,69	0,7765
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	715,68	0,8375
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	752,22	0,8285
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	997,74	0,762
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	652,22	0,8439
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	927,03	1,2876
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1120,09	0,811
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1065,68	1,0048
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	994,53	1,1699
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1044,53	1,1596
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	952,77	0,8042
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1113,02	1,2586
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1175,56	1,047
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	856,66	0,8482
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1055,33	0,791
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1084,28	0,8068
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1136,4	0,7961
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	702,22	1,2893
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1115,24	1,4771
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	952,77	1,0227
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1172,79	1,2684
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	903,11	1,4365
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1089,51	0,9442
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	973,82	1,2398
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1052,22	0,9245
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	944,97	1,1869
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1176,04	1,6145
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	924,26	1,1955
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1102,08	0,9053
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1065,68	0,9966
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1026,93	0,8328
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1140,8	0,7936
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1189,17	0,8426
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	874,26	1,1724
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	998,08	1,1938
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	923,82	1,178
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1102,22	0,8337
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	923,82	1,4549
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	903,11	1,166
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	973,82	0,8746
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1084,62	1,271
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1253,11	1,3538
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	976,93	0,8972
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1105,19	0,8221
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1305,88	0,7752
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	702,22	0,7424
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1176,04	1,309
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	870,71	1,1852
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1114,9	0,7739
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1277,37	0,7714
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	973,82	0,9245
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	702,22	1,216
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	906,32	1,1955
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	1238,62	0,8238
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	906,32	0,7611
GreedySearch	g9_haromszog	MultiAgents\a2_0	1	100	100	923,82	1,2992
