Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1091,42	9,0961
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,5092
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1091,42	2,3837
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1091,42	4,9553
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1098,08	26,4106
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1073,82	3,2038
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,4507
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1044,97	3,7533
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1065,68	3,7111
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1044,97	3,5878
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,4046
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1065,68	2,1205
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,1824
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1091,42	2,2681
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,4755
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1098,08	2,368
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1073,82	3,0382
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1044,97	2,3547
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1112,13	3,531
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1091,42	2,5992
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1091,42	2,1794
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1044,97	2,2809
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,2685
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,1175
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1065,68	2,7921
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1069,23	2,3534
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1065,68	2,5105
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1044,97	2,1486
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1044,97	2,5497
GreedySearch	g9_haromszog	MultiAgents\a1_0	30	30	30	1098,08	2,4183
