Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	11,5366
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,97	4,8503
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	4,0345
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	690,8	5,3209
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	3,9266
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	3,2401
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,7613
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	665,68	4,273
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	715,68	4,5503
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,8044
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	652,22	3,5822
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,8262
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	3,3117
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,7972
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,5745
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,8526
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	652,22	2,6935
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,9137
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	702,22	2,5685
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,53	3,4572
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,53	3,5801
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,7835
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	652,22	3,5933
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,8309
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,97	2,6525
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,8061
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	722,93	2,9141
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	690,8	3,8335
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	702,22	2,7404
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	3,0681
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	690,8	2,6862
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	3,185
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	690,8	4,6993
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	652,22	3,5682
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	665,68	4,6033
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	3,098
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,7669
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,8087
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,7972
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,97	2,8761
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	652,22	3,0519
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	2,7758
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	4,567
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,97	2,8531
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	690,8	3,1138
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,97	2,8326
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,53	2,7921
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,97	2,9277
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	722,79	2,7942
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	644,53	5,5479
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	702,22	4,9467
GreedySearch	g9_haromszog	MultiAgents\a2_4	30	30	30	631,51	4,3366
