Algorithm name	Graph filename	Agents filename	Patience parameter	Number of runs	Max route length per agent	Result	Run time
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	14853,03	113,4361
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16413,88	108,3733
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17158,16	127,3245
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15355,08	114,2472
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	14346,05	86,6666
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	13513,58	121,6635
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	18682,93	111,3638
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16692,08	119,7619
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17073,25	104,9851
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15494,56	121,4869
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17765,89	97,792
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15829,96	112,2466
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17296,86	102,5757
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16870,31	98,9337
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16524,9	121,0308
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16126,03	115,7755
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16611,38	104,0456
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17266,58	116,587
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15825,81	100,7675
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16134,55	114,1222
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15819,08	108,9262
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16132,7	103,9517
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	14600,33	120,9079
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15346,01	105,9289
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17402,7	108,7014
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16157,98	107,1722
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15045,68	85,5987
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16954,94	107,9543
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	14966,1	135,9364
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17302,96	126,1824
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15362,04	110,4089
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16869,34	99,4487
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15038,37	91,3088
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15721,47	113,7706
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15391,81	99,5118
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17631,67	113,6285
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	13830,59	132,7099
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15258,85	117,2642
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16249,02	105,2736
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15572,85	100,4215
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15655,61	120,0972
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15082,54	99,9458
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16592,85	117,661
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15514,77	107,1342
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16170,59	99,9108
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16766,23	108,0998
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15868,38	128,1655
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15807,33	109,6866
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17836,05	117,5803
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15544,97	97,0333
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15791,73	120,4292
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16018,49	95,9581
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	14757,39	102,1405
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	16957,58	101,44
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15300,02	121,2846
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	17129,75	125,8457
GreedySearch	g200_rand	MultiAgents\a5_6	1	100	200	15721,03	106,8198
