Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1011	125
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1018	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1056	-922
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1030	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1010	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	946	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1071	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1052	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	954	93
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	970	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1054	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1056	109
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1041	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1046	-906
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1031	93
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1033	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1060	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1065	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1011	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1048	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	991	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	985	-891
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1031	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1074	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1014	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1016	93
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	995	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1004	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	977	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	957	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	982	93
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1065	110
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	942	-906
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	990	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1067	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1049	109
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1010	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1016	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1037	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1007	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	980	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1035	-891
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1000	110
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	963	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	928	93
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1020	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1010	78
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1015	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1056	94
Genetic	graph100_1	agents5	500	5000	0,66	0,025	True	True	1013	94
