Algorithm name	Graph filename	Agents filename	Generation number	Populatiom number	Mutation probability	Weakparent rate	First childmutate	Second child mutate	Result	Run time
Genetic	graph400_1	agents4	500	7000	0,25	0,025	True	True	11323,66	576
Genetic	graph400_1	agents4	500	7000	0,252	0,025	True	True	11440,87	-479
Genetic	graph400_1	agents4	500	7000	0,254	0,025	True	True	11945,31	494
Genetic	graph400_1	agents4	500	7000	0,256	0,025	True	True	11471,21	-487
Genetic	graph400_1	agents4	500	7000	0,258	0,025	True	True	11513,1	516
Genetic	graph400_1	agents4	500	7000	0,26	0,025	True	True	11223,95	-465
Genetic	graph400_1	agents4	500	7000	0,262	0,025	True	True	11774,51	477
Genetic	graph400_1	agents4	500	7000	0,264	0,025	True	True	11583,77	-470
Genetic	graph400_1	agents4	500	7000	0,266	0,025	True	True	11382,42	-503
Genetic	graph400_1	agents4	500	7000	0,268	0,025	True	True	11519,66	565
Genetic	graph400_1	agents4	500	7000	0,27	0,025	True	True	11133,06	-328
Genetic	graph400_1	agents4	500	7000	0,272	0,025	True	True	11757,32	485
Genetic	graph400_1	agents4	500	7000	0,274	0,025	True	True	11279,48	-500
Genetic	graph400_1	agents4	500	7000	0,276	0,025	True	True	11500,96	454
Genetic	graph400_1	agents4	500	7000	0,278	0,025	True	True	12012,32	-500
Genetic	graph400_1	agents4	500	7000	0,28	0,025	True	True	11520,48	484
Genetic	graph400_1	agents4	500	7000	0,282	0,025	True	True	10758,92	-515
Genetic	graph400_1	agents4	500	7000	0,284	0,025	True	True	11295,94	485
Genetic	graph400_1	agents4	500	7000	0,286	0,025	True	True	11262,69	-531
Genetic	graph400_1	agents4	500	7000	0,288	0,025	True	True	11711,06	453
Genetic	graph400_1	agents4	500	7000	0,29	0,025	True	True	11121,28	-500
Genetic	graph400_1	agents4	500	7000	0,292	0,025	True	True	11342,73	516
Genetic	graph400_1	agents4	500	7000	0,294	0,025	True	True	11326,14	-297
Genetic	graph400_1	agents4	500	7000	0,296	0,025	True	True	11084,92	476
Genetic	graph400_1	agents4	500	7000	0,298	0,025	True	True	11614,81	-531
Genetic	graph400_1	agents4	500	7000	0,3	0,025	True	True	11131,16	469
Genetic	graph400_1	agents4	500	7000	0,302	0,025	True	True	11544,42	-469
Genetic	graph400_1	agents4	500	7000	0,304	0,025	True	True	11506,2	516
Genetic	graph400_1	agents4	500	7000	0,306	0,025	True	True	11410,92	-531
Genetic	graph400_1	agents4	500	7000	0,308	0,025	True	True	10996,39	453
Genetic	graph400_1	agents4	500	7000	0,31	0,025	True	True	11680,94	-484
Genetic	graph400_1	agents4	500	7000	0,312	0,025	True	True	11585,59	453
Genetic	graph400_1	agents4	500	7000	0,314	0,025	True	True	12132,62	-531
Genetic	graph400_1	agents4	500	7000	0,316	0,025	True	True	11547,41	500
Genetic	graph400_1	agents4	500	7000	0,318	0,025	True	True	11209,54	-531
Genetic	graph400_1	agents4	500	7000	0,32	0,025	True	True	11157,66	579
Genetic	graph400_1	agents4	500	7000	0,322	0,025	True	True	11785,63	-500
Genetic	graph400_1	agents4	500	7000	0,324	0,025	True	True	12246,75	516
Genetic	graph400_1	agents4	500	7000	0,326	0,025	True	True	11737,53	-531
Genetic	graph400_1	agents4	500	7000	0,328	0,025	True	True	11186,86	453
Genetic	graph400_1	agents4	500	7000	0,33	0,025	True	True	11441,63	-531
Genetic	graph400_1	agents4	500	7000	0,332	0,025	True	True	11656,75	469
Genetic	graph400_1	agents4	500	7000	0,334	0,025	True	True	11431,67	-469
Genetic	graph400_1	agents4	500	7000	0,336	0,025	True	True	12068,59	500
Genetic	graph400_1	agents4	500	7000	0,338	0,025	True	True	11488,68	-468
Genetic	graph400_1	agents4	500	7000	0,34	0,025	True	True	11892,7	469
Genetic	graph400_1	agents4	500	7000	0,342	0,025	True	True	11169,31	-515
Genetic	graph400_1	agents4	500	7000	0,344	0,025	True	True	11897,86	531
Genetic	graph400_1	agents4	500	7000	0,346	0,025	True	True	11600,1	-515
Genetic	graph400_1	agents4	500	7000	0,348	0,025	True	True	12069,17	501
